ID,Species,Soil Type,Salt Addition,Greenhouse Group,Diameter Growth (%),Stem Mass Growth (%),Coarse Root Growth (%),Total Biomass Growth (%),Pre-Existing Biomass Growth (%),New Above Ground Biomass (g),Fine Root Mass (g),New Above/Below Ground Biomass Ratio,Week 6 SPAD,Initial Diameter (mm),Final Diameter (mm),Initial Stem Displacement (g),Final Stem Displacement (g),Initial Coarse Root Displacement (g),Final Coarse Root Weight (g),Initial Pre-Existing Biomass (g),Final Pre-Existing Biomass (g),Final Total Biomass (g),End SPAD ,Week 1 Leachate NaCl (mg),Week 2 Leachate NaCl (mg),Week 3 Leachate NaCl (mg),Week 4 Leachate NaCl (mg),Week 5 Leachate NaCl (mg),Week 6 Leachate NaCl (mg),Week 7 Leachate NaCl (mg),Week 8 Leachate NaCl (mg),Fraction of LICOR covered by Leaf 
121,MAP,BCOT,N,7,5.499541705,-60.9375,-66.66666667,-49.06840391,-67.4267101,2.72,0.098,27.75510204,32.4,5.455,5.755,6.4,2.5,7.5,2.5,15.35,5,7.818,31.5,97.565,,,11.22375,15.15,17.3536,7.5003,6.588,1
122,MAP,BCOT,Y,3,-0.735294118,19.04761905,-85,-45.21705426,-58.01033592,1.02,0.9604,1.062057476,37.8,4.76,4.725,4.2,5,10,1.5,15.48,6.5,8.4804,,251.18,79.195,47.2635,50.53,31.136,35.27725,21.5423,24.5472,1
123,MAP,BCOT,N,3,0.224215247,13.06532663,-70,-24.66045549,-37.88819876,0.58,0.6978,0.83118372,,4.46,4.47,3.98,4.5,5,1.5,9.66,6,7.2778,16.1,99.2795,68.7245,31.4578,17.8928,19.9395,29.1528,18.864,16.6,
124,MAP,BCOT,N,5,5.711318795,-16.66666667,-92.06349206,-50.1105948,-67.47211896,1.3,0.5681,2.288329519,29.7,4.815,5.09,3.6,3,6.3,0.5,10.76,3.5,5.3681,30.8,124.3075,51.0945,12.16,30.4621,25.632,29.1555,17.2634,8.7932,1
125,MAP,BCOT,Y,1,7.932379714,-40,-84.84848485,-44.778125,-68.75,1.2,0.3342,3.590664273,33.6,3.845,4.15,2.5,1.5,3.3,0.5,6.4,2,3.5342,29.8,136.2915,67.1,3.8025,31.032,31.234,33.0752,20.2266,19.5575,1
126,MAP,BCOT,Y,2,-2.088772846,7.142857143,-79.59183673,-30.78082192,-53.13626532,2.2,0.9007,2.442544687,34.6,5.745,5.625,4.2,4.5,9.8,2,13.87,6.5,9.6007,23.5,157.8865,77.879,39.7955,38.654,25.31625,26.2509,18.0068,20.0618,1
127,OAK,Control,Y,5,-4.609665428,2.739726027,-0.690846287,-12.4239037,-18.31470335,1.2,0.1702,7.05052879,34.1,6.725,6.415,7.3,7.5,11.58,11.5,23.26,19,20.3702,39.2,99.738,42.6195,2.27745,26.436,25.8785,28.49555,19.2672,13.86535,1
128,OAK,Control,Y,2,,,,,,0.7,1.2026,0.582072177,24.3,,3.92,,,,,,0,1.9026,31,122.476,56.166,36.2824,23.1876,21.57375,30.8256,20.5282,21.5735,1
129,OAK,Control,N,2,-8.064516129,21.21212121,-42.30769231,-29.72560976,-35.21341463,0.72,0,,36.6,4.96,4.56,3.3,4,7.8,4.5,13.12,8.5,9.22,36.2,187.68,83.391,43.2362,25.99265,18.1845,27.6261,16.5444,16.4445,1
130,OAK,Control,N,5,0.594451783,5.263157895,-35.25179856,-31.20945455,-38.18181818,1.75,0.1674,10.45400239,31.7,7.57,7.615,7.6,8,13.9,9,27.5,17,18.9174,36.5,205.735,63.393,26.90415,30.4046,18.81975,29.913,14.08,9.10065,1
131,OAK,Control,Y,6,-0.62305296,-7.894736842,-25.67567568,-33.18958032,-34.87698987,0.22,0.0132,16.66666667,,4.815,4.785,3.8,3.5,7.4,5.5,13.82,9,9.2332,30.2,311.1865,87.264,41.31,65.184,36.078,34.4993,22.2606,18.651,
132,OAK,Control,N,1,-23.38251986,-21.05263158,-25.53191489,-35.14082687,-35.4005168,0,0.0201,,,4.405,3.375,1.9,1.5,4.7,3.5,7.74,5,5.0201,,91.377,67.34,21.98745,27.26685,24.65925,35.1595,21.2796,17.3886,
133,OAK,Control,N,6,-0.616740088,133.3333333,-47.36842105,-18.14888889,-27.77777778,0.68,0.1866,3.644158628,27.2,5.675,5.64,1.5,3.5,5.7,3,9,6.5,7.3666,32.5,116.28,55.968,38.2768,35.70075,25.17075,27.6,16.038,14.75895,1
134,OAK,Control,N,3,-3.290870488,2.941176471,-38.46153846,-26.71505376,-32.79569892,0.6,0.0786,7.633587786,35.6,4.71,4.555,3.4,3.5,6.5,4,11.16,7.5,8.1786,37.9,196.0875,117.8625,56.717,55.878,23.49675,33.4559,23.32825,15.0903,1
135,OAK,Control,Y,4,-6.318883174,53.06122449,-15.76086957,-13.637781,-16.6062364,0.76,0.0587,12.9471891,32.6,6.805,6.375,4.9,7.5,18.4,15.5,27.58,23,23.8187,33.1,113.68,58.1,36.23975,12.17805,15.39,28.834,20.595,18.998,1
136,OAK,Control,Y,1,-0.179533214,25,-27.48091603,-28.55,-32.06521739,0.52,0.1268,4.100946372,30.2,5.57,5.56,2.4,3,13.1,9.5,18.4,12.5,13.1468,34.6,101.7315,69.498,43.0146,19.9918,25.025,34.804,24.012,20.631,1
137,OAK,Control,N,7,3.564547206,37.5,-27.53623188,6.936434109,-18.60465116,0,3.2948,,,5.19,5.375,4,5.5,6.9,5,12.9,10.5,13.7948,,160.496,66.95,37.356,36.26,38.1825,40.52225,23.6457,19.8431,
138,OAK,Control,Y,7,-1.34529148,5.882352941,-12.40875912,-23.35766423,-23.35766423,0,0,,,6.69,6.6,8.5,9,13.7,12,27.4,21,21,,230.334,79.7335,33.352,52.219,29.8155,42.65,22.38925,25.9428,
139,OAK,Control,N,4,1.561065197,60.71428571,-10.71428571,-7.766863905,-14.20118343,0.92,0.1674,5.495818399,27,5.445,5.53,2.8,4.5,11.2,10,16.9,14.5,15.5874,36.3,174.456,70.702,33.174,50.451,24.58825,29.38335,18.9576,12.878,1
140,OAK,Control,Y,3,8.280254777,7.142857143,-43.92523364,-36.49831461,-41.01123596,0.76,0.0433,17.55196305,17.7,5.495,5.95,4.2,4.5,10.7,6,17.8,10.5,11.3033,35.2,222.865,111.228,44.08,60.154,33.6435,45.3284,22.2111,30.6065,1
141,OAK,BCMI,N,2,-11.34289439,-16.66666667,-22.22222222,-29.3059126,-29.3059126,0,0,,,3.835,3.4,2.4,2,4.5,3.5,7.78,5.5,5.5,,216.648,137.4645,31.6245,50.922,24.2055,34.91915,21.25495,24.03525,
142,OAK,BCMI,N,4,-4.071856287,40,-15.38461538,-11.97343454,-14.61100569,0.18,0.098,1.836734694,24.1,4.175,4.005,2.5,3.5,6.5,5.5,10.54,9,9.278,34.7,211.899,114.8965,4.7073,39.429,21.138,26.6247,20.01675,14.09975,1
143,OAK,BCMI,N,7,-1.628664495,168.2926829,-41.17647059,18.80460624,11.44130758,0.82,0.1711,4.792518995,28.1,4.605,4.53,4.1,11,6.8,4,13.46,15,15.9911,31.9,97.66,54.488,,43.043,22.61,27.86775,16.59775,15.785,1
144,OAK,BCMI,Y,7,0.715563506,37.25490196,-12.5,-6.079078456,-12.82689913,0.78,0.3037,2.568324004,40.5,5.59,5.63,5.1,7,8,7,16.06,14,15.0837,42.6,143.047,70.49,23.775,21.451,31.809,33.9401,16.866,23.1166,1
145,OAK,BCMI,Y,1,18.49405548,66.66666667,0,33.17012987,3.896103896,1.72,0.5341,3.220370717,27.3,3.785,4.485,2.1,3.5,4.5,4.5,7.7,8,10.2541,35.1,174.496,76.272,20.6535,30.7655,28.48575,34.9144,8.5264,17.7184,1
146,OAK,BCMI,N,3,1.677539609,2.040816327,-41.66666667,-31.13207547,-33.17610063,0.26,0,,15.3,5.365,5.455,4.9,5,6,3.5,12.72,8.5,8.76,32.1,131.677,76.614,32.364,44.1945,17.64,27.4626,17.2608,18.7852,0.861652237
147,OAK,BCMI,Y,5,2.33463035,84.7826087,-38.35616438,16.44148936,-1.215805471,2.06,0.2637,7.811907471,28.3,5.14,5.26,4.6,8.5,7.3,4.5,13.16,13,15.3237,30.8,132.825,26.705,11.0088,38.1,30.06,33.2514,17.4535,14.45015,1
148,OAK,BCMI,Y,6,-1.991150442,-12.6984127,-30.10752688,-10.32950423,-27.44860943,2.18,0.6515,3.346124328,27.7,6.78,6.645,6.3,5.5,9.3,6.5,16.54,12,14.8315,33.7,257.103,34.6365,25.254,42.12,34.112,3.9538,13.7235,11.774,1
149,OAK,BCMI,Y,2,-5.192107996,-37.5,-7.407407407,-30.16759777,-30.16759777,0,0,,,4.815,4.565,4,2.5,2.7,2.5,7.16,5,5,,211.6265,84.249,28.1785,50.8725,29.0565,33.535,22.2452,23.03065,
150,OAK,BCMI,Y,3,-6.25,25,-33.33333333,-17.76375405,-35.27508091,0.92,0.1622,5.672009864,30.3,5.6,5.25,1.6,2,3,2,6.18,4,5.0822,22.9,194.419,106.425,57.7935,53.44,25.92,35.3604,19.0872,21.392,1
151,OAK,BCMI,Y,4,-3.209109731,20,-27.08333333,-10.5611413,-11.68478261,0,0.0827,,,4.83,4.675,2.5,3,4.8,3.5,7.36,6.5,6.5827,,188.944,91.728,37.2255,42.012,24.03,33.9408,22.952,19.6095,
152,OAK,BCMI,N,5,4.710920771,3.448275862,-25.67567568,-26.32375189,-35.70347958,1.24,0,,35.3,4.67,4.89,2.9,3,7.4,5.5,13.22,8.5,9.74,30.6,190.2595,75.45,30.828,40.4612,28.3605,30.17855,18.2091,14.5536,1
153,OAK,BCMI,N,6,-16.015625,0,-41.17647059,-28.73867596,-30.31358885,0.06,0.0304,1.973684211,23.8,3.84,3.225,2,2,3.4,2,5.74,4,4.0904,26.3,248.234,70.218,16.4526,50.9418,22.61575,28.2528,19.2852,18.09465,1
154,OAK,BCMI,N,1,-6.801275239,13.63636364,-19.35483871,-14.15506329,-20.88607595,0.3,0.1254,2.392344498,25.3,4.705,4.385,2.2,2.5,3.1,2.5,6.32,5,5.4254,26.3,218.68,85.248,22.995,20.192,27.82425,33.804,20.7612,20.4216,1
155,OAK,BCOT,N,2,-5.339366516,0,-38.35616438,-27.05970149,-33.66500829,0.62,0.1766,3.510758777,16.8,5.525,5.23,3.5,3.5,7.3,4.5,12.06,8,8.7966,31.4,177.3145,90.695,23.0955,26.13,24.4555,31.97625,17.7854,12.6867,1
156,OAK,BCOT,Y,2,-10.92362345,-10.71428571,-28.57142857,-23.08415842,-31.93069307,0.56,0.1548,3.617571059,19.9,5.63,5.015,2.8,2.5,4.2,3,8.08,5.5,6.2148,25.8,149.05,69.355,53.676,26.975,22.24675,33.3925,16.683,19.9503,1
157,OAK,BCOT,N,6,0.829562594,-14.28571429,-32.51533742,-29.21152388,-35.55724033,1.56,0.114,13.68421053,32.8,6.63,6.685,7,6,16.3,11,26.38,17,18.674,33.6,212.0625,68.4075,18.2115,35.3115,34.1775,34.8612,17.33445,17.3349,1
158,OAK,BCOT,Y,3,14.6811071,3.448275862,-16.66666667,16.00409836,-12.90983607,2.36,0.462,5.108225108,31.4,4.155,4.765,2.9,3,6.6,5.5,9.76,8.5,11.322,34.6,188.65,95.9985,45.22,28.3345,23.77875,0.1951,15.63235,15.1031,1
159,OAK,BCOT,Y,6,37.57062147,-24.24242424,-30.55555556,-24.2290146,-31.56934307,0.56,0.2445,2.290388548,27.6,5.31,7.305,3.3,2.5,7.2,5,10.96,7.5,8.3045,31.3,221.4405,81.141,28.5175,67.4286,34.91425,40.66596,22.1008,15.6561,1
160,OAK,BCOT,N,5,-5.742935278,37.93103448,-43.39622642,-18.43258427,-21.34831461,0,0.2595,,,5.485,5.17,2.9,4,5.3,3,8.9,7,7.2595,,257.9005,65.661,19.107,37.6878,27.615,26.5234,22.7837,10.552,
161,OAK,BCOT,N,7,7.124681934,-11.76470588,-15.73033708,-19.34578313,-27.71084337,0.98,0.4086,2.398433676,31.6,5.895,6.315,5.1,4.5,8.9,7.5,16.6,12,13.3886,36,216.775,70.125,32.097,9.843,26.945,32.03625,17.0247,12.50295,1
162,OAK,BCOT,N,1,-3.603603604,-13.04347826,-18.18181818,-29.93555094,-32.43243243,0.15,0.0902,1.662971175,26.7,5.55,5.35,2.3,2,5.5,4.5,9.62,6.5,6.7402,34.6,148.5385,69.015,38.601,17.081,29.62575,31.12085,17.22,16.67925,1
163,OAK,BCOT,Y,1,-9.887640449,19.04761905,-16.66666667,-13.36648501,-18.25613079,0.28,0.0789,3.548795944,26.7,4.45,4.01,2.1,2.5,4.2,3.5,7.34,6,6.3589,24.1,146.5505,68.598,20.09845,16.794,21.294,32.008,20.319,17.0378,1
164,OAK,BCOT,N,3,-6.118355065,60,-3.225806452,13.79360465,-3.100775194,1.44,0.3035,4.744645799,21.9,4.985,4.68,2.5,4,6.2,6,10.32,10,11.7435,32.5,155.045,91.936,36.67125,23.0524,16.908,25.1685,14.16525,7.9508,1
165,OAK,BCOT,N,4,5.87639311,25,-20.45454545,5.596820809,-16.90751445,2.3,0.8146,2.823471643,36,4.935,5.225,3.6,4.5,8.8,7,13.84,11.5,14.6146,38.1,146.9,80.887,15.351,3.762,7.23375,11.9425,8.25525,0.8504,1
166,OAK,BCOT,Y,7,10.85541257,-24.41860465,-35.6846473,-38.32903056,-42.04425711,1.13,0.2803,4.031394934,33.6,6.605,7.322,8.6,6.5,24.1,15.5,37.96,22,23.4103,27,253.237,82.9665,19.7625,39.276,30.806,35.52255,17.70615,17.75425,1
167,OAK,BCOT,Y,5,10.85043988,7.142857143,-28.57142857,37.56308411,-29.90654206,0.21,2.6777,0.078425514,28.9,3.41,3.78,1.4,1.5,2.1,1.5,4.28,3,5.8877,33.2,110.9115,46.3085,25.7548,30.7835,25.4625,31.16005,17.7616,8.8825,1
168,OAK,BCOT,Y,4,-19.89100817,-6.25,-25,-27.93779904,-28.22966507,0,0.0122,,,3.67,2.94,1.6,1.5,2,1.5,4.18,3,3.0122,,110.474,76.347,24.96,10.37,9.2905,32.24,21.6473,9.078,
