ID,Species,Soil Type,Salt Addition,Greenhouse Group,Diameter Growth (%),Stem Mass Growth (%),Coarse Root Growth (%),Total Biomass Growth (%),Pre-Existing Biomass Growth (%),New Above Ground Biomass (g),Fine Root Mass (g),New Above/Below Ground Biomass Ratio,Week 6 SPAD,Initial Diameter (mm),Final Diameter (mm),Initial Stem Displacement (g),Final Stem Displacement (g),Initial Coarse Root Displacement (g),Final Coarse Root Weight (g),Initial Pre-Existing Biomass (g),Final Pre-Existing Biomass (g),Final Total Biomass (g),End SPAD ,Week 1 Leachate NaCl (mg),Week 2 Leachate NaCl (mg),Week 3 Leachate NaCl (mg),Week 4 Leachate NaCl (mg),Week 5 Leachate NaCl (mg),Week 6 Leachate NaCl (mg),Week 7 Leachate NaCl (mg),Week 8 Leachate NaCl (mg),Fraction of LICOR covered by Leaf 
50,HON,Control,Y,7,0.906892382,,-15.49295775,-23.0992455,-23.0992455,0,0,,,8.27,8.345,,14.5,14.2,12,34.46,26.5,26.5,,164.724,99.275,48.714,49.0224,34.44525,36.9582,33.1084,18.5283,
51,HON,Control,N,3,2.224469161,,-11.76470588,-13.94927536,-13.94927536,0,0,,,4.945,5.055,,5,5.1,4.5,11.04,9.5,9.5,,186.93,75.806,70.932,33.187,26.68275,31.57665,20.17465,17.0986,
52,HON,Control,Y,4,-3.348554033,,8.910891089,11.80098832,-7.90655885,2.3,2.0869,1.102113182,38.4,6.57,6.35,,9.5,10.1,11,22.26,20.5,24.8869,,163.0035,85.008,43.586,35.7618,16.303,15.9885,21.04,4.0945,0.662518038
53,HON,Control,Y,1,-0.340909091,,-13.79310345,10.70873786,-11.00323625,0.82,0.5218,1.571483327,22.6,4.4,4.385,,3,2.9,2.5,6.18,5.5,6.8418,42.4,142.464,86.811,45.15,27.9295,26.719,27.4778,19.9392,19.5363,0.9251443
54,HON,Control,N,5,-5.788005579,,-12.37113402,-11.3135187,-11.3135187,0,0,,,7.17,6.755,,10,9.7,8.5,20.86,18.5,18.5,,105.196,82.128,25.3456,38.4345,30.04,27.3308,20.5086,14.4573,
55,HON,Control,N,2,-3.562945368,,59.09090909,22.26666667,1.449275362,0.7,0.7364,0.950570342,31.9,4.21,4.06,,3.5,2.2,3.5,6.9,7,8.4364,23.4,137.48,71.02,53.277,40.4872,36.0325,33.15235,25.1825,16.8696,0.555194805
56,HON,Control,Y,3,-3.262955854,,-44.44444444,-30.89430894,-30.89430894,0,0,,,5.21,5.04,,5.5,5.4,3,12.3,8.5,8.5,,106.288,47.773,44.5455,38.0684,26.8,30.67175,22.8646,21.5798,
57,HON,BCMI,N,4,-8.126858276,,-26.82926829,-32.57261411,-32.57261411,0,0,,,5.045,4.635,,3.5,4.1,3,9.64,6.5,6.5,,145.883,123.872,54.4515,24.312,23.445,25.9935,20.91,15.87385,
58,HON,BCMI,Y,7,14.12466844,,-16.66666667,32.32067511,-5.063291139,3.44,3.648,0.942982456,45.1,7.54,8.605,,10,9.6,8,18.96,18,25.088,41.8,151.173,37.4034,11.466,0.553,22.392,0,0,0.4316,0.720598846
59,HON,BCMI,Y,4,-5,,-22.07792208,-28.68998222,-28.86781269,0,0.03,,,5.8,5.51,,6,7.7,6,16.87,12,12.03,,196.7545,41.7196,36.40125,19.2371,18.912,27.24725,25.0146,17.0262,
