LeakConst,fan_a,fan_b,fan_c,fan_d,Fs_meas,Fs_true,leak_wt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-6276,6.6,0.00001709,3.11,4.33744 88.5494 379.032 621.622 853.561 1074.33 1252.86 1395.5,0.233701 100.582 402.398 600.806 800.379 1000.74 1203.08 1400.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sys,Sys,Sys,Sys,Sys,UserDefVar,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,GasEx,Leak,Leak,Leak,Leak,Leak,LeafQ,LeafQ,LeafQ,LeafQ,Const,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,Meas,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrLS,FlrStats,FlrStats,FlrStats,FlrStats,FlrStats,Match,Match,Match,Match,Match,Match,Match,Match,Match,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Stability,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status,Status
obs,time,elapsed,date,hhmmss,TreeID,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,H2O_s:MN,H2O_s:SLP,H2O_s:SD,H2O_s:OK,Tleaf:MN,Tleaf:SLP,Tleaf:SD,Tleaf:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
9,1565021540,875,20190805 11:12:20,11:12:20,159,1565021532,8.77484E-05,2.875282589,398.9166452,-269.3688376,-26.73512281,39.59287048,0.006904278,3.377314906,0.006896446,0.004310982,24.78517923,32.25095277,31.4280129,4.622652275,70.85480776,3.410918945,4.813955543,1.211733329,-3.869706562,130.2414259,8.727161383,159.88406,-0.041096616,0.046134552,3.449432267,0,0,1,0,51521.88938,150.0010323,126.4512999,0.843002865,0.196005729,0: Broadleaf,1565021532,398.9166452,400.0807742,34.3666,34.33270645,499.993871,99.12934839,0.121637903,32.14331935,31.4280129,999.9,0,0,9997.693871,0,40.06599032,150.0010323,0.899896065,0.100103923,0,2.365135484,0,1521.733548,1390.356452,43.875,48.49187097,46.312,47.5,44.687,134.9845161,15.01419355,0,1565021589,2.360534615,0.046088899,48.35145303,1522.201538,15,1565021148,11:05:47,2,-0.018,0.362,400,33,0.13,0.01,398.9699024,-0.800592334,0.097955392,1,34.31449512,0.814212544,0.096091308,1,31.4084561,0.378855052,0.038131429,1,3,3,3/3,100,100,-0.018,0.362,2,520.865,525.919,28.0014,37.1211,30.0007,36.9551,36.9598,20.7456,22.3786,100,28,400,33.8615,100.608,111.716
10,1565021606,941,20190805 11:13:26,11:13:26,133,1565021598,0.000469434,5.133774879,397.9679677,163.0377994,16.18058582,39.49608543,0.036042524,3.377236965,0.035830187,0.02241284,24.78186571,32.19991793,31.58134516,4.66309272,70.81256112,3.415753477,4.823654764,1.247339243,-20.70201791,108.8030716,7.297575992,120.1804954,-0.041095412,0.0461332,3.449352212,0,0,1,0,51514.28345,149.9840645,126.4367251,0.843001058,0.196002116,0: Broadleaf,1565021598,397.9679677,400.0961935,34.4176,34.23629032,500.0028065,99.12242581,0.121957226,32.17892258,31.58134516,999.9,0,0,9998.099032,0,19.58754516,149.9840645,0.899957065,0.100042948,0,2.399596774,0,1055.501161,1390.225161,43.937,48.516,46.375,47.562,44.75,134.9790323,15.00354839,0,1565021655,2.369888462,0.44028376,1384.281196,1077.601808,15,1565021148,11:05:47,2,-0.018,0.362,400,33,0.13,0.01,397.9299024,0.741240418,0.078891035,1,34.36198537,0.873535192,0.10365086,1,31.56896585,0.209299652,0.022843013,1,3,3,3/3,100,100,-0.018,0.362,2,521.183,524.377,27.9995,37.2157,30.0005,37.0405,37.0451,20.7444,23.2621,100,28,400,33.7298,100.594,111.696
11,1565021773,1108,20190805 11:16:13,11:16:13,143,1565021765,0.000159235,4.214470766,398.4047742,-128.6109837,-12.76185016,39.53303121,0.012883522,3.377241944,0.01285628,0.008037617,24.78685835,32.14494174,31.2926,4.587192257,71.14810018,3.407685392,4.789566247,1.179506866,-7.022255471,138.5429426,9.273341926,165.5808874,-0.041095488,0.046133286,3.449357326,0,0,1,0,51535.22738,150.0115806,126.4601583,0.843002638,0.196005277,0: Broadleaf,1565021765,398.4047742,400.1159355,34.34186774,34.28036129,500.000871,99.10707742,0.121229484,32.05351613,31.2926,999.9,0,0,9999.666129,0,13.84925484,150.0115806,0.899920774,0.100079252,0,2.43096129,0,855.106871,1390.465484,43.937,48.437,46.375,47.504,44.75,134.9987097,15.01451613,0,1565021822,2.428123077,0.69470086,32.83781193,855.2501538,15,1565021671,11:14:31,3,0.051,0.347,400,34,0.18,0.02,398.3516341,0.974738676,0.101667741,1,34.30091463,0.568933798,0.082824297,1,31.27919024,0.269767944,0.026752185,1,3,3,3/3,100,100,0.051,0.347,2,521.877,521.955,27.9984,37.2983,29.9998,37.1428,37.1425,20.7568,24.6024,100,28,400,33.6904,100.577,111.685
12,1565021840,1175,20190805 11:17:20,11:17:20,144,1565021832,0.000522135,5.097452157,397.9962258,204.9819887,20.33992625,39.492318,0.043829287,3.376950086,0.043515696,0.027225298,24.78458504,31.97079951,31.11083871,4.5399677,71.29375934,3.396972684,4.764754609,1.142995015,-23.02613323,154.9150272,10.3561453,167.0296244,-0.041090978,0.046128222,3.449057553,0,0,1,0,51545.30489,150.0024516,126.4520561,0.842999929,0.195999858,0: Broadleaf,1565021832,397.9962258,400.1183226,34.23405806,34.03235484,500.0016774,99.10692581,0.120944806,31.96174839,31.11083871,999.9,0,0,9998.583871,0,14.71388387,150.0024516,0.900007,0.0999933,0,2.375774194,0,836.2633548,1390.414839,43.875,48.34248387,46.312,47.437,44.667,135.0035484,15,0,1565021889,2.365076923,0.335876911,-39.77740168,835.7843462,15,1565021671,11:14:31,3,0.051,0.347,400,34,0.18,0.02,398.009,-0.136641115,0.028234212,1,34.1779439,0.849117073,0.106994112,1,31.0953122,0.277787456,0.028468864,1,3,3,3/3,100,100,0.051,0.347,2,521.917,521.081,27.9992,37.2429,29.9996,37.113,37.111,20.7627,25.8085,100,28,400,33.3452,100.588,111.7
13,1565021922,1257,20190805 11:18:42,11:18:42,166,1565021914,6.80302E-05,4.86184125,398.1339677,-1082.612468,-107.4241136,39.50553853,0.00523209,3.37730325,0.005227591,0.003267648,24.78924461,31.98762886,31.39010968,4.612702739,71.14497351,3.373361788,4.741532144,1.239340951,-3.000131419,88.37497356,5.912902101,116.0769889,-0.041096436,0.04613435,3.449420294,0,0,1,0,51566.44475,150.0281613,126.473948,0.843001387,0.196002774,0: Broadleaf,1565021914,398.1339677,400.0895484,33.99649677,33.97020968,499.9974194,99.10625484,0.120492258,31.87548065,31.39010968,999.9,0,0,9999.979677,0,18.02107097,150.0281613,0.899950581,0.100049429,0,2.409574194,0,812.8717097,1390.631935,43.812,48.187,46.19106452,47.312,44.562,135.0177419,15.00967742,0,1565021971,2.42985,0.484899146,-28.86369226,812.7352692,15,1565021671,11:14:31,3,0.051,0.347,400,34,0.18,0.02,398.1058293,0.50128223,0.056863938,1,33.9398122,0.904275261,0.10444497,1,31.39183902,-0.057928223,0.00758763,1,3,3,3/3,100,100,0.051,0.347,2,522.571,520.279,27.9978,37.1438,29.9995,37.0466,37.0456,20.7758,26.1864,99.2455,28,400,33.3124,100.593,111.71
14,1565022012,1346.4,20190805 11:20:11,11:20:11,161,1565022004,-6.24976E-05,4.763505354,398.207871,1829.438254,181.5225007,39.51141198,-0.005243519,3.37760946,-0.005248046,-0.003279622,24.78546151,31.9684194,30.94976129,4.498471627,71.13692932,3.363664698,4.728436736,1.134806929,2.756142607,159.6797113,10.65702345,197.8783388,-0.041101169,0.046139662,3.44973481,0,0,1,0,51580.32277,150.0054194,126.454763,0.843001297,0.196002593,0: Broadleaf,1565022004,398.207871,400.1033226,33.90002258,33.92417419,499.998871,99.1027129,0.120368452,31.82667097,30.94976129,999.9,0,0,10001.48871,0,16.47207419,150.0054194,0.899958935,0.100041268,0,2.434567742,0,931.6734516,1390.423548,43.687,48.062,46.09654839,47.187,44.49390323,134.9990323,15.00709677,0,1565022061,2.41485,0.206601703,3.485572654,931.8011923,15,1565021671,11:14:31,3,0.051,0.347,400,34,0.18,0.02,398.1808049,0.430118467,0.049996204,1,33.84077561,0.894604181,0.111536788,1,30.93264146,0.32290453,0.033081643,1,3,3,3/3,100,100,0.051,0.347,2,521.63,519.783,28.0003,37.0251,29.9996,36.9577,36.9589,20.7962,26.3978,98.4967,28,400,33.4099,100.62,111.734
15,1565022183,1517.4,20190805 11:23:02,11:23:02,162,1565022175,-0.000784515,3.375403611,398.818,483.2799035,47.94816462,39.56835568,-0.056926792,3.377627541,-0.057465267,-0.035866991,24.7819967,32.08142423,31.45628387,4.630085521,70.62728457,3.329952447,4.714824402,1.300133074,34.59709103,58.1839418,3.891894358,121.4549239,-0.041101448,0.046139976,3.449753381,0,0,1,0,51589.08808,149.9862903,126.4384756,0.843000219,0.196000439,0: Broadleaf,1565022175,398.818,400.043,33.56330968,33.86658065,500.0040968,99.09431613,0.119750645,31.77580968,31.45628387,999.9,0,0,10002.40419,0,39.38695161,149.9862903,0.900007,0.0999933,0,2.411012903,0,1076.893548,1390.265484,43.5,47.875,45.921,46.937,44.296,134.9890323,15,0,1565022232,2.427419231,0.033958982,44.1029056,1073.461923,15,1565022066,11:21:06,4,0.104,0.352,400,33,0.15,0.02,398.8383902,-0.297867596,0.039638536,1,33.50783415,0.956644599,0.100788006,1,31.46045854,-0.083155401,0.008662196,1,3,3,3/3,100,100,0.104,0.352,2,522.01,518.489,27.9998,36.8219,29.9996,36.7798,36.784,20.8252,27.172,97.0041,28,400,33.4757,100.644,111.766
16,1565022275,1609.4,20190805 11:24:34,11:24:34,136,1565022267,-0.000668005,3.916935558,398.6500323,518.1555738,51.40563854,39.54962659,-0.048014952,3.376606176,-0.048397533,-0.030213832,24.78401358,32.06307391,31.57486129,4.661376422,70.9634354,3.347320379,4.716964955,1.314056043,29.45900258,38.03805362,2.546702107,94.82777188,-0.041085663,0.046122256,3.448704316,0,0,1,0,51568.62886,149.9944516,126.4457108,0.843002587,0.196005174,0: Broadleaf,1565022267,398.6500323,400.1102903,33.74012581,33.9983129,499.9986774,99.08953548,0.119353,31.78381613,31.57486129,999.9,0,0,9999.045161,0,22.70980968,149.9944516,0.899922484,0.100077506,0,2.417758065,0,896.4499355,1390.305484,43.437,47.84045161,45.8363871,46.923,44.24593548,134.983871,15.01258065,0,1565022323,2.415130769,-0.003001714,565.5361365,897.766,15,1565022066,11:21:06,4,0.104,0.352,400,33,0.15,0.02,398.6038049,0.725163763,0.090717793,1,33.68143415,0.924566551,0.109102965,1,31.58014878,-0.133643206,0.014657124,1,3,3,3/3,100,100,0.104,0.352,2,521.692,517.841,27.9993,36.7357,29.9998,36.697,36.7047,20.8391,27.392,95.8833,28,400,33.5035,100.652,111.778
17,1565022358,1692.4,20190805 11:25:57,11:25:57,163,1565022350,-0.00012588,4.514212709,398.3138387,1067.563996,105.9067537,39.51437641,-0.010555989,3.376233051,-0.010574359,-0.006607321,24.78518227,31.91699878,30.89685484,4.484914365,71.12580708,3.350604329,4.710813792,1.134310036,5.551286424,157.2548458,10.49332154,198.084636,-0.041079897,0.046115783,3.448321073,0,0,1,0,51565.4883,149.9994194,126.4500834,0.843003819,0.196007639,0: Broadleaf,1565022350,398.3138387,400.0994839,33.77484839,33.8235,499.9955484,99.08516452,0.118961903,31.7608,30.89685484,999.9,0,0,9998.082903,0,57.51222258,149.9994194,0.899864613,0.100135381,0,2.464296774,0,1500.831935,1390.329032,43.375,47.81,45.788,46.875,44.171,134.9803226,15.01903226,0,1565022406,2.430092308,-0.167500862,-47.85059825,1501.304231,15,1565022066,11:21:06,4,0.104,0.352,400,33,0.15,0.02,398.2764146,0.631149826,0.076286679,1,33.72267317,0.80092892,0.097405296,1,30.89089024,0.098517073,0.011340835,1,3,3,3/3,100,100,0.104,0.352,2,522.052,516.35,27.9999,36.6807,29.9999,36.636,36.6437,20.8449,28.3086,94.3734,28,400,33.2895,100.653,111.781
18,1565022444,1778.4,20190805 11:27:23,11:27:23,145,1565022436,-9.10314E-05,4.598023816,398.2713871,1372.479301,136.1527978,39.50934898,-0.007411493,3.376293767,-0.007420543,-0.004637025,24.78461898,31.89400777,31.01914839,4.51630615,71.12239089,3.347580823,4.706788932,1.168725327,4.014486126,132.2536197,8.829537115,169.8822619,-0.041080835,0.046116836,3.448383435,0,0,1,0,51569.12262,150.0004194,126.4505393,0.843001239,0.196002477,0: Broadleaf,1565022436,398.2713871,400.0960968,33.74506774,33.78025161,499.9993871,99.08299677,0.119080645,31.74572581,31.01914839,999.9,0,0,9998.53,0,13.52026774,150.0004194,0.899949323,0.100050723,0,2.369496774,0,847.4646452,1390.371613,43.312,47.75,45.74796774,46.802,44.125,134.9932258,15.00612903,0,1565022493,2.386446154,0.12080684,-12.12420517,847.3561154,15,1565022066,11:21:06,4,0.104,0.352,400,33,0.15,0.02,398.2219024,0.871254355,0.090844495,1,33.68440976,0.955331707,0.111767993,1,31.0069878,0.224090592,0.023041873,1,3,3,3/3,100,100,0.104,0.352,2,521.742,515.462,27.9993,36.6284,29.9998,36.5783,36.5837,20.8552,28.35,92.8858,28,400,33.2677,100.659,111.791
